Address,Date time,Latitude,Longitude,Resolved Address,Name,Wind Direction,Minimum Temperature,Maximum Temperature,Temperature,Wind Speed,Cloud Cover,Heat Index,Chance Precipitation (%),Precipitation,Sea Level Pressure,Snow Depth,Snow,Relative Humidity,Wind Gust,Wind Chill,Conditions
"San,Diego","10/14/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",212.5,63.2,69.0,65.6,5.5,88.4,,0.0,0.0,1010.0,0.0,0.0,82.3,8.9,,"Overcast"
"San,Diego","10/15/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",202.4,62.5,67.0,63.9,4.2,98.9,,42.9,0.16,1012.5,0.0,0.0,82.5,11.6,,"Overcast"
"San,Diego","10/16/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",293.9,62.3,73.5,66.3,4.0,49.9,,0.0,0.0,1014.9,0.0,0.0,79.5,10.7,,"Partially cloudy"
"San,Diego","10/17/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",321.0,65.6,70.4,67.9,7.9,19.6,,0.0,0.0,1014.8,,,78.6,10.3,,"Clear"
"San,Diego","10/18/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",333.0,67.7,74.6,71.3,8.6,36.8,,0.0,0.0,1013.8,,,69.7,15.4,,"Partially cloudy"
"San,Diego","10/19/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",130.2,72.9,87.9,78.1,6.9,84.2,85.3,4.8,0.0,1013.1,,0.0,44.7,18.6,,"Overcast"
"San,Diego","10/20/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",185.9,69.3,72.6,71.0,6.7,68.8,,23.8,0.0,1013.2,,0.0,72.6,9.8,,"Partially cloudy"
"San,Diego","10/21/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",218.8,66.6,70.4,68.6,5.8,0.6,,4.8,0.0,1011.0,,0.0,74.8,7.0,,"Clear"
"San,Diego","10/22/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",236.0,63.6,66.6,65.3,5.4,28.9,,9.5,0.0,1011.8,,0.0,75.1,7.2,,"Partially cloudy"
"San,Diego","10/23/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",212.9,63.1,64.8,63.7,7.2,98.2,,4.8,0.04,1013.5,,0.0,73.3,10.1,,"Overcast"
"San,Diego","10/24/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",265.1,63.7,67.7,65.9,5.7,42.3,,0.0,0.03,1015.9,,0.0,65.0,9.5,,"Partially cloudy"
"San,Diego","10/25/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",144.8,65.6,74.2,69.3,6.8,0.0,,4.8,0.0,1020.2,,0.0,33.2,15.2,,"Clear"
"San,Diego","10/26/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",203.1,66.3,72.6,69.0,5.6,35.0,,14.3,0.0,1015.8,,0.0,29.9,10.3,,"Partially cloudy"
"San,Diego","10/27/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",206.3,65.6,69.0,66.9,4.9,24.5,,19.0,0.0,1011.4,,0.0,62.7,8.3,,"Clear"
"San,Diego","10/28/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",265.9,65.4,70.1,67.7,3.7,0.0,,14.3,0.0,1014.6,,0.0,64.3,7.4,,"Clear"
"San,Diego","10/29/2022",32.7157,-117.162,"San Diego, CA, United States","San,Diego",331.7,68.1,73.8,70.6,7.1,11.2,,9.5,0.0,1016.0,,0.0,55.0,11.2,,"Clear"
